;Область, Авторы,Идентификаторы авторов,Ссылка,Ключевые слова автора,Ключевые слова указателя;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;"Lajus J., Kraikovski A., Lajus D.,""9243817600";9243817800;6602612811;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886302574&doi=10.1371%2fjournal.pone.0077059&partnerID=40&md5=a326ed0ea813b861528a1e4fbc2b396e"",,""article"; Baltic Sea; coastal waters; commercial phenomena; environmental exploitation; Finland; fishery; freshwater fish; history; population abundance; population density; river basin; Animals; Baltic States; Bays; Ecosystem; Finland; Fisheries; Fishes; Geography; History, 15th Century; History, 16th Century; History, 17th Century; History, 18th Century; History, 19th Century; History, 20th Century; Human Activities; Humans; Oceans and Seas; Population Density; Population Dynamics;" Rivers""";;;;;;;;;;;;
0;"Guillot M., Gavrilova N., Torgasheva L., Denisenko M.,""7102377734";7005912034;55875485100;6603730381;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885141206&doi=10.1371%2fjournal.pone.0075314&partnerID=40&md5=ceb9816950526d47dd0c627fd4f5270e"",,""adult"; alcohol consumption; article; Asia; biostatistics; cardiovascular disease; cause of death; Central Asia; cultural factor; economic aspect; ethnic difference; human; mortality; religion; Russian Federation; trend study; Alcohol Drinking; Alcoholism; Cause of Death; Female; Humans; Kyrgyzstan; Life Expectancy; Male; Mortality;" Russia""";;;;;;;;;;;;;;;;;
0;"Nye J.V.C., Androuschak G., Desierto D., Jones G., Yudkevich M.,""8234501800";55385970200;36494178100;55386227800;25924090500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84895546211&doi=10.1371%2fannotation%2f8e05e33b-58cf-4983-b021-3a65d27ef2a1&partnerID=40&md5=ebab7403d3c5c9c1c8d9ff9e69719d5f"",,""erratum";" error""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;"Al-Ubaydli O., Houser D., Nye J., Paganelli M.P., Pan X.S.,""6507433818";7007130840;8234501800;7003449403;37075368100;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874595171&doi=10.1371%2fjournal.pone.0055968&partnerID=40&md5=535c16be3c9d99e16e111c8c567ff9c5"",,""article"; behavioral science; causal attribution; controlled study; data analysis; decision making; game; human; human experiment; mathematical model; medical research; observational study; randomized controlled trial (topic); social interaction; social marketing; social psychology; task performance; trust; commercial phenomena; cultural anthropology; game; randomized controlled trial; social behavior; Commerce; Culture; Decision Making; Games, Experimental; Humans; Social Behavior;" Trust""";;;;;;;;;;;;
14;"Kormina J.V.,""55966057700";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890411583&doi=10.4000%2fassr.25074&partnerID=40&md5=2b0a1b48bec5fb52617fdd17f5f004e0"",""Hagiography"; Pilgrimage; Popular religion; Religious practices; Russian Orthodox Church;" Veneration of saints"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Bojcov M.A.,""53563319900";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900388174&doi=10.7788%2fdaem-2013-0205&partnerID=40&md5=f4ddaa85345dd1a71715a26343d851cf"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Smilianskaia E.B.,""56005835500";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892610199&doi=10.1163%2f18763316-04004007&partnerID=40&md5=2d159a3dd979da52736df61e98a48666"",""homosexuality"; popular religiosity; Russian court; Russian Enlightenment; Russian nobility; Ukrainian witchcraft;" witchcraft, magic"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Zaretskiy Y.,""55988267400";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891678689&partnerID=40&md5=54ba8f0642a2179c3afbf31bff679ddd"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Gambarato R.R.,""56039359500";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894156602&doi=10.12697%2fSSS.2013.41.4.03&partnerID=40&md5=e41e68e0fc0cb9276856e9b624e3bdf8"",""Abduction"; Design innovation; Peircean semiotics;" Perception"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Loskutova M.,""37095765700";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901078242&partnerID=40&md5=ceaf8c6923c06dcfa829a3a968dcbdaa"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Lajus J.,""9243817600";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900744296&partnerID=40&md5=a73f446ef4257072c202b14ab9435aaa"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Lajus J.,""9243817600";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900687139&partnerID=40&md5=a13db1935c3e873bcfcf416a7da97863"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Kozintseva E.G., Dragoy O.V., Malyutina S.A., Ivanova M.V., Sevan D.A., Kuptsova S.V., Petrushevsky A.G., Fedina O.N., Gutyrchik E.F.,""55266444100";36522630700;55935739000;13406041800;55935476400;55344594700;55935654100;55935963000;35253306800;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888092206&partnerID=40&md5=fd70358fbae812107e0336c37967d506"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Bos L.S., Dragoy O., Iskra E., Avrutin S., Bastiaanse R.,""54583101600";36522630700;55935608100;6602652840;7003821546;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888113041&partnerID=40&md5=3dab04a46bc33bc93c608f2f4612afa8"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Aguiar V.D., Bastiaanse R., Reis A., Dragoy O.,""56481545300";7003821546;55936144100;36522630700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888107489&partnerID=40&md5=cf4332a831dc2281fc99fef793746532"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Lebedeva N., Tatarko A.,""8719892500";8440401400;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887534406&doi=10.1027%2f1016-9040%2fa000161&partnerID=40&md5=ec359ddc9f4bceefa60c795d7255ff95"",""Acculturation"; Acculturation strategies and expectations; Equality; Immigrants; Immigration; Life satisfaction/security; Perceived threat;" Tolerance"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Apresjan V.,""55965625400";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890388729&doi=10.1515%2fip-2013-0026&partnerID=40&md5=063fcaa8607b0c5220abc840f562a0ac"",""corpus research"; emotion cluster; emotion subtype; emotional etiquette; etiquette maxim;" frequency"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Novikova L.G.,""23991028700";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887087437&doi=10.1080%2f09668136.2013.842362&partnerID=40&md5=909b993f6d2bcde191063516f1fcbaca"",,""civil war"; grassroots level; historical geography; political violence; terrorism;" Russian Federation""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Guillot M., Lim S.-J., Torgasheva L., Denisenko M.,""7102377734";55902167500;55875485100;6603730381;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885104229&doi=10.1080%2f00324728.2013.835859&partnerID=40&md5=222e1b73b6ccd3af803ab6d618420dd5"",""Central Asia"; data quality; former Soviet Union; indirect estimation techniques; infant mortality;" Kyrgyzstan"",""data quality"; estimation method; ethnicity; health care; infant mortality; rural area; Central Asia; Kyrgyzstan; USSR; article; demography; human; infant; infant mortality; Kyrgyzstan; life expectancy; USSR; Demography; Humans; Infant; Infant Mortality; Kyrgyzstan; Life Expectancy;" USSR""";;;;;;;;;;;;;;
14;"Boldyrev I.A., Herrmann-Pillath C.,""54881811600";6507366328;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885855218&doi=10.1007%2fs11299-012-0111-3&partnerID=40&md5=34dcd79853abe7c20ae6969006f5ff47"",""Extended mind"; Hegel; Institutional economics; Performativity; Preferences;" Recognition"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Dobrokhotov A.,""37041120500";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905061741&doi=10.2753%2fRSP1061-1967520204&partnerID=40&md5=b590f5811855cc546628b8051889da26"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Marin-Ostrovskiy A.,""56005048100";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892551631&doi=10.5901%2fmjss.2013.v4n10p241&partnerID=40&md5=a27fd253ad1a2ce1431dcb13ced29889"",""Institutional changes"; Political regime; Property; Property rights;" Russia"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Sheveleva M., Redkina A.,""56005602100";56004912300;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892530001&doi=10.5901%2fmjss.2013.v4n11p527&partnerID=40&md5=fa8176a63bd8ab43e1b3374fb9250ac9"",""Educational initiative"; Government funding; International baccalaureate diploma program;" Risks and benefits"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Kashnitsky I.,""56005450800";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892529864&doi=10.5901%2fmjss.2013.v4n10p358&partnerID=40&md5=8bf292c2a78f30e6b512758fbf3e486e"",""Center-peripheral population dynamics"; Cohort migration studies; Method of shifting ages; Periphery depopulation;" Youth migration"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Sorokina S., Musorina O.,""56004728100";56004715500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892494013&doi=10.5901%2fmjss.2013.v4n9p503&partnerID=40&md5=e801c0cc1e019ce1961cf418e78a9101"",""Argumentative line"; Coherence; Prospective and retrospective exposition;" Recurrence"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Van Tiel B., Van Miltenburg E., Zevakhina N., Geurts B.,""55308073200";57160415100;57160174500;9334731900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960128679&doi=10.1093%2fjos%2fffu017&partnerID=40&md5=50a12db3286c6c182db9de00cba543f9"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Soboleva A.,""19639351400";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881231366&doi=10.1007%2fs11196-012-9270-0&partnerID=40&md5=320f3f053d4e9e0aa7d1a515066fc68f"",""Judicial decision-making"; Legal arguments; Legal reasoning; Linguistic argument; Plain language rule;" Statutory interpretation"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Vecchione M., Caprara G., Dentale F., Schwartz S.H.,""22982346400";7006408578;36169178100;7403606009;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880926077&doi=10.1111%2fpops.12011&partnerID=40&md5=5216de55a9ad00d48220bd7a86242a12"",""Basic values"; Left-right ideology; Political values; Reciprocal effects;" Voting"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Ivanova M.V., Hallowell B.,""13406041800";6701685000;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84882269676&doi=10.1080%2f02687038.2013.805728&partnerID=40&md5=54c502e169a2407f82782e1a4548ec79"",""Aphasia"; Language assessment; Psychometrics; Reliability; Standardised testing; Test development;" Validity"",""aphasia"; clinical assessment tool; cognition; human; information dissemination; language ability; language processing; language test; linguistics; psychometry; review; scoring system; sensitivity and specificity; speech; test retest reliability; validity;" visual stimulation""";;;;;;;;;;;;;;;;;;;;;;
14;"Gasparyan D.,""24176741200";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84882381623&partnerID=40&md5=6fee05ed84f0ccd17fdf81632d51740e"",""Causal theory"; Descriptivist theory of meaning; Meaning;" Structural linguistics"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Letuchiy A.,""55823575400";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881658254&doi=10.1515%2fling-2013-0029&partnerID=40&md5=a068840023a09d26f2bf83bd2e22bd49"",""Adyghe"; Caucasian languages; Derived verbs; Predictability; Reciprocal; Reflexive; Transitivity;" Verb classes"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Dobrushina N.,""54972405500";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879592235&doi=10.1111%2fjosl.12041&partnerID=40&md5=165c90bd04d235e469e5cb406986cd79"",""Family interview"; Language contacts; Languages of Daghestan;" Multilingualism"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Gonchar K.,""6506713940";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876001359&doi=10.1080%2f09668136.2013.779454&partnerID=40&md5=0016d8219444233b7449cc3f9df343f3"",,""crisis management"; financial crisis; globalization; industrial development; industrial performance; manufacturing;" Russian Federation""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Afanas'eva T.I., Ivanov S.A.,""55613149500";36632008300;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874522554&partnerID=40&md5=058ad9041e1d86a680d16b79cd9da292"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Bos L.S., Dragoy O., Stowe L.A., Bastiaanse R.,""54583101600";36522630700;7003899615;7003821546;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871722566&doi=10.1016%2fj.jneuroling.2012.10.001&partnerID=40&md5=030cec1210cb6c38b8db0bd29070c600"",""Auxiliary"; Discourse linking; ERP; P600; Periphrastic verbs; Tense;" Time reference"",""adult"; article; brain depth recording; controlled study; event related potential; female; human; human experiment; linguistics; male; nerve conduction; normal human; priority journal; response time; thinking;" time perception""";;;;;;;;;;;;;;;;;;;;;
14;"Rakitin P.,""6507078936";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978745089&partnerID=40&md5=5f70957cfacd52be2bd8ae37a827ce5a"",""19th century"; Byzantine empire; Eastern Question; Ethnicity; Intellectuals; Nationalism; Orthodox Church; Russia; Russian-Turkish wars; Slavdom; Slavophils;" The media"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Beisswenger M.,""56062372300";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901943825&doi=10.1353%2fimp.2013.0004&partnerID=40&md5=298e6633bcacdc1e49f7fcf56450552c"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Kalashnikov A.,""56103514100";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897760442&partnerID=40&md5=e0e59f7cd46b8afbb112000b961d3811"",""Charactonyms"; Onymic space;" Translation"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Inishev I., Biedash Y.,""39461364000";56287951400;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904625987&partnerID=40&md5=6a3a163f1d7204df13a3839e2891aaf5"",""Agency"; Gadamer; Image; Philosophical hermeneutics; Social icons;" Space"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Vinogradov A.,""56100520900";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897624562&doi=10.1484%2fJ.ABOL.5.101459&partnerID=40&md5=daa00a5760d84236fc342754708d9502"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Ghys É., Tabachnikov S., Timorin V.,""6602486726";6603813387;6507568071;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874998373&doi=10.1007%2fs00283-012-9336-6&partnerID=40&md5=07e6845317393d4759a52996f97e868c"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Libman A., Kozlov V.,""35763477800";55429890300;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007036686&doi=10.1353%2freg.2013.0012&partnerID=40&md5=b0f861a44ffc5192d51b123a977d595a"",""Corruption"; Russian regions;" Sub-national institutions"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Plungian V., Rakhilina E.,""6507933287";26967858600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940343565&doi=10.1007%2fs11185-013-9117-7&partnerID=40&md5=e0c2fe3e9d793bda85f4c15c40f24a16"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Kuznetsova J., Plungian V., Rakhilina E.,""55047670800";6507933287;26967858600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911924195&doi=10.1007%2fs11185-013-9116-8&partnerID=40&md5=3d03f586c1b502e66b1c2e2bdbf538f2"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Dragoy O., Bastiaanse R.,""36522630700";7003821546;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867197422&doi=10.1016%2fj.jneuroling.2012.05.003&partnerID=40&md5=0ab965400a832e679b27d7ddb79b0b5e"",""Aphasia"; Aspect; Russian; Tense;" Time reference"",""adult"; aphasia; article; clinical article; controlled study; ethnic group; female; grammar; human; male; phoneme; priority journal; Russian Federation; semantics; speech articulation; speech rate; stimulus response; task performance;" time perception""";;;;;;;;;;;;;;;;;;;;;;
16;"Lajus J., Kraikovski A., Lajus D.,""9243817600";9243817800;6602612811;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886302574&doi=10.1371%2fjournal.pone.0077059&partnerID=40&md5=a326ed0ea813b861528a1e4fbc2b396e"",,""article"; Baltic Sea; coastal waters; commercial phenomena; environmental exploitation; Finland; fishery; freshwater fish; history; population abundance; population density; river basin; Animals; Baltic States; Bays; Ecosystem; Finland; Fisheries; Fishes; Geography; History, 15th Century; History, 16th Century; History, 17th Century; History, 18th Century; History, 19th Century; History, 20th Century; Human Activities; Humans; Oceans and Seas; Population Density; Population Dynamics;" Rivers""";;;;;;;;;;;;
16;"Guillot M., Gavrilova N., Torgasheva L., Denisenko M.,""7102377734";7005912034;55875485100;6603730381;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885141206&doi=10.1371%2fjournal.pone.0075314&partnerID=40&md5=ceb9816950526d47dd0c627fd4f5270e"",,""adult"; alcohol consumption; article; Asia; biostatistics; cardiovascular disease; cause of death; Central Asia; cultural factor; economic aspect; ethnic difference; human; mortality; religion; Russian Federation; trend study; Alcohol Drinking; Alcoholism; Cause of Death; Female; Humans; Kyrgyzstan; Life Expectancy; Male; Mortality;" Russia""";;;;;;;;;;;;;;;;;
16;"Nye J.V.C., Androuschak G., Desierto D., Jones G., Yudkevich M.,""8234501800";55385970200;36494178100;55386227800;25924090500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84895546211&doi=10.1371%2fannotation%2f8e05e33b-58cf-4983-b021-3a65d27ef2a1&partnerID=40&md5=ebab7403d3c5c9c1c8d9ff9e69719d5f"",,""erratum";" error""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;"Al-Ubaydli O., Houser D., Nye J., Paganelli M.P., Pan X.S.,""6507433818";7007130840;8234501800;7003449403;37075368100;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874595171&doi=10.1371%2fjournal.pone.0055968&partnerID=40&md5=535c16be3c9d99e16e111c8c567ff9c5"",,""article"; behavioral science; causal attribution; controlled study; data analysis; decision making; game; human; human experiment; mathematical model; medical research; observational study; randomized controlled trial (topic); social interaction; social marketing; social psychology; task performance; trust; commercial phenomena; cultural anthropology; game; randomized controlled trial; social behavior; Commerce; Culture; Decision Making; Games, Experimental; Humans; Social Behavior;" Trust""";;;;;;;;;;;;
1;"Gurkov I., Filippov S.,""6603320551";24586990700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890395306&doi=10.1080%2f10669868.2013.845870&partnerID=40&md5=e7cccea46f7a82ff20b1777c9fbb30cc"",""innovations"; multinational corporations; Russia;" subsidiaries"",""innovation"; manufacturing; multinational enterprise; technological development;" Russian Federation""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Bogomazov G., Melnik D.,""57192184191";57200446503;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84999941138&doi=10.1057%2f9781137314048&partnerID=40&md5=4aa8b3c07f6f2a1da0c1c225acb1a4d1"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Gurkov I., Settles A.,""6603320551";53264788000;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890369015&doi=10.1080%2f09585192.2013.778315&partnerID=40&md5=e0fd4b01b7181f0f4b406067ff97e29c"",""CEO"; HRM; Russia; Survey-based research;" Upper-echelon theory"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Golichenko O.,""6505863853";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945371117&doi=10.4018%2f978-1-4666-4769-5.ch005&partnerID=40&md5=f68507e061463af377317028e4bd373d"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Saritas O.,""6506092892";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884513672&partnerID=40&md5=d28ee32e7f966a681e4a4edc44435668"",""Cognitive tools"; Human enhancement technologies; Implantable devices; Medicine technologies; Robotics; Social divide; Wearable technologies;" Wild cards"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Kaminskiy I., Ogorodova L., Patrushev M., Chulok A.,""14630598600";7004641487;23498640600;56669650700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884522141&partnerID=40&md5=0af1c8e21532a3e6b8ab607e7cb62c7e"",""Global challenges"; Innovation policy; Long-term forecast; Medicine and healthcare; Priority areas; S&T capacities;" S&T policy"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Gershman M.,""55862041400";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887037228&partnerID=40&md5=556bf89af258e43e082e784500a498fd"",""Coercion to innovation"; Innovation performance; Innovative development programme;" State-owned company"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
