3;"Ivanova L.D., Petrova L.I., Granatkina Yu.V., Zemskov V.S., Sokolov O.B., Skipidarov S.Ya., Kurganov V.A., Podbel'Skii V.V.,""56208114700";7102799992;7801687782;7103049725;57196974709;6507672643;37661930900;36245602900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79956110865&doi=10.1134%2fS0020168511050104&partnerID=40&md5=dda428b1e3fa3cdbdbb5d58c13190199"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;
2;"Ivanova L.D., Petrova L.I., Granatkina Yu.V., Zemskov V.S., Sokolov O.B., Skipidarov S.Ya., Kurganov V.A., Podbel'Skii V.V.,""56208114700";7102799992;7801687782;7103049725;57196974709;6507672643;37661930900;36245602900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79956110865&doi=10.1134%2fS0020168511050104&partnerID=40&md5=dda428b1e3fa3cdbdbb5d58c13190199"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Kotliarov I.,""25626497500";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84455192541&partnerID=40&md5=0cd17a4a48afa1d6ba88666f57a7c42f"",""Franchisee"; Franchising; Franchisor; Income; Risk; Royalty;" Royalty rate"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Romashkin N., Ignatov D., Kolotova E.,""55027709000";56926915100;55027260900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857495195&partnerID=40&md5=20c94ea6f185fc10e7116cbcdfcdb4a4"",""Formal concept analysis";" University admissions"",""Algebraic techniques"; Higher School; Highly-correlated; Survey data; Undergraduate programmes; University admissions; Data mining; Formal concept analysis; Taxonomies;" Education""";;;;;;;;;;;;;;;;;;;;;;
4;"Savchenko A.,""42962245900";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890908026&partnerID=40&md5=a808c7d092aaa9611c6c4d8dcdebe8b9"",""Image recognition"; Kullback-Leibler information discrimination;" Method of directed enumeration alternatives"",""Color histogram"; Kullback-Leibler; Kullback-Leibler information; Kullback-Leibler information metric; Large database; Method of directed enumerations; Minimum information; Artificial intelligence; Face recognition; Image recognition;" Soft computing""";;;;;;;;;;;;;;;;;;;;;;
4;"Sergey G.,""55974258300";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890898458&partnerID=40&md5=119c5a647809ead664e332d27df9cc2e"",""Artificial neural network"; Back-propagation; Forecast; Independent component analysis;" Principal component analysis"",""Auto-regression"; Financial market; Independent component analysis(ICA); Levenberg-Marquardt; Levenberg-Marquardt learning; Mean reversion; Pre-processing; Stock returns; Commerce; Image recognition; Independent component analysis; Investments; Neural networks; Principal component analysis; Regression analysis; Soft computing;" Forecasting""";;;;;;;;;;;;;;
4;"Ignatov D., Poelmans J., Zaharchuk V.,""56926915100";24504357900;55420283900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867702726&partnerID=40&md5=a0ea0262237b59ffab9b8b372a740403"",""Biclustering"; Educational orientation;" Recommender system"",""Bi clusters"; Bi-clustering; Higher School; School graduates; Algorithms; Data mining; Fuzzy sets; Rough set theory;" Recommender systems""";;;;;;;;;;;;;;;;;;;;;;
4;"Avdoshin S.M., Pesotskaya E.Y.,""8122631900";55220267500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861117371&doi=10.1109%2fCEE-SECR.2011.6188471&partnerID=40&md5=5b12e32ccf666648f948216373b0da88"",""probability"; risk assessment; risk classification; risk identification; risk impact; risk management; risk mitigation; software risks;" uncertainties"",""Risk classification"; Risk Identification; Risk impact; Risk mitigation; Software risks; uncertainties; Information technology; Probability; Risk assessment; Risk management; Software design;" Risk perception""";;;;;;;;;;;;;;
4;"Babkin E., Karpunina M.,""6701533991";55274973600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890892110&partnerID=40&md5=e8787d73bc66846f65d55c2b1a85670e"",""Distributed databases"; Genetic algorithms; Neural networks; Parallel programming;" Tabu search"",""Distributed database"; Logical structure; Parallel tabu search; Tabu algorithm; Artificial intelligence; Genetic algorithms; Neural networks; Parallel programming; Pattern recognition; Soft computing; Tabu search;" Structural optimization""";;;;;;;;;;;;;;;;;;
4;"Vinkov S.,""55973420100";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890921613&partnerID=40&md5=9e16b2b03cabd04b0e94ceb59443d02c"",""Formal concept analysis"; Socialization; Type;" Typological analysis"",""Formal concepts analysis"; Mathematical method; Socialization; Type; Typological analysis; Data mining; Formal concept analysis; Fuzzy sets; Social sciences;" Rough set theory""";;;;;;;;;;;;;;;;;;;;;;
4;"Chernyak E., Chugunova O., Askarova J., Nascimento S., Mirkin B.,""55973447100";55973441900;55973769000;7003805775;35428028600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890932879&partnerID=40&md5=ba45be1a381c38d05bd01ce284f2b8ea"",,""Suffix-trees"; Text document; Abstracting; Data mining; Fuzzy sets; Rough set theory;" Taxonomies""";;;;;;;;;;;;;;;;;;;;;;;;
4;"Mirkin B.,""35428028600";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857321345&partnerID=40&md5=3445916cf5c33af826c83baafd0b8cc9"",,""Computer science"; Information systems;" Statistics""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Poelmans J., Elzinga P., Neznanov A., Viaene S., Kuznetsov S.O., Ignatov D., Dedene G.,""24504357900";24504058300;55329014600;55960020100;7202573378;56926915100;6603898706;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890917510&partnerID=40&md5=ccac53312d1f38032ece9159fa0bdeca"",,""Analysis process"; Emergent self organizing maps; Enabling technologies; Essential elements; Formal concept analyses (FCA); Temporal attributes; Time stamps; Unstructured texts; Engineering research; Fuzzy sets; Hidden Markov models; Rough set theory; Self organizing maps;" Data mining""";;;;;;;;;;;;;;;
4;"Gromoff A., Chebotarev V., Evina K., Stavenko Y.,""49663292500";53866112300;53866444300;55351417500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054794506&doi=10.1007%2f978-3-642-23471-2_19&partnerID=40&md5=0cd8063c3326d90426df519af4d36269"",""business process management"; communication network; contact net; ECM; enterprise content; innovation; networking; S-BPM; subject-oriented approach;" unstructured information"",""Business process management"; enterprise content; networking; S-BPM; Subject-oriented; unstructured information; Business process management; Contact nets; networking; S-BPM; Subject-oriented; unstructured information; Enterprise resource management; Knowledge engineering; Network management; Computer science; Computers; Innovation; Military electronic countermeasures; Telecommunication networks; Industry;" Enterprise resource management""";
4;"Matveenko V.D.,""7004178973";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052941950&doi=10.1109%2fICMT.2011.6002474&partnerID=40&md5=7299c3a3ff9dcfa83d9b7415b741d73e"",""Duality"; Generalized convexity; Idempotent operations; Model; Production function;" Sublinear and superlinear functions"",""Duality"; Generalized convexity; Idempotent operations; Production function; Sublinear; Models;" Multimedia systems""";;;;;;;;;;;;;;;;;;;;;;;
4;"Poelmans J., Elzinga P., Dedene G., Viaene S., Kuznetsov S.O.,""24504357900";24504058300;6603898706;55960020100;7202573378;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79961191894&doi=10.1007%2f978-3-642-22688-5_15&partnerID=40&md5=48b0bcb8d52f33f97e14118b932a0083"",,""Activity report"; Human trafficking; Hungary; Motor vehicle; Netherlands; Police officers; Social environment; Activity report; Concept discoveries; Human trafficking; Motor vehicle; Netherlands; Police officers; Police patrols; Social environment; Military vehicles; Law enforcement; Military vehicles; Crime;" Crime""";;;;;;;;;;;
4;"Savchenko A.V.,""42962245900";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960300921&doi=10.1007%2f978-3-642-21881-1_52&partnerID=40&md5=0ae612b946807b6642479320390467f6"",,""Exhaustive search"; Experimental studies; Face images; Halftone images; Kullback-Leibler; Large database; Discrimination informations; Face images; Halftone images; Large database; Method of directed enumerations; Data mining; Fuzzy sets; Granular computing; Rough set theory; Data mining; Fuzzy sets; Granular computing; Image recognition; Face recognition;" Rough set theory""";;;;;;;;;;;;;;
4;"Ignatov D.I., Kuznetsov S.O., Magizov R.A., Zhukov L.E.,""56926915100";7202573378;42961943800;56962754300;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960318872&doi=10.1007%2f978-3-642-21881-1_41&partnerID=40&md5=6dff5b1d4637728d608910a135b98ae7"",""data mining"; folksonomy; formal concept analysis; three-way data;" triclustering"",""Biclustering"; Binary data; Binary relation; Concept-based; Folksonomies; Formal Concept Analysis; Large datasets; Three way data; triclustering; Bi-clustering; Binary data; Binary relation; Concept-based; Folksonomies; Large datasets; Three way data; Triclustering; Data mining; Fuzzy sets; Rough set theory; Bins; Data mining; Fuzzy sets; Granular computing; Information analysis; Rough set theory; Granular computing;" Formal concept analysis"""
4;"Kuznetsov S.O., Ślȩzak D., Hepting D.H., Mirkin B.G.,""7202573378";7004096337;7801380650;35428028600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960317607&doi=10.1007%2f978-3-642-21881-1&partnerID=40&md5=08a6598d95e0be60d55cd40c8e28c38d"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Mirkin B.G., Kramarenko A.V.,""35428028600";44861538100;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960325288&doi=10.1007%2f978-3-642-21881-1_40&partnerID=40&md5=1fbc82141bda8dfd39e3c33deba6d8f1"",""bicluster"; box;" tricluster"",""bicluster"; Binary data; box; Cluster method; Experimental studies; Least Square; tricluster; Analysis of binaries; Bi clusters; Cluster method; Least Square; Tricluster; Fuzzy sets; Granular computing; Rough set theory; Bins; Data mining; Fuzzy sets; Granular computing; Rough set theory; Least squares approximations;" Least squares approximations""";;;;;;;;;;
4;"Golovachev S.,""55300543000";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960147078&doi=10.1007%2f978-3-642-21786-9_57&partnerID=40&md5=3c6de0a1f8c902241807074a1069dd0f"",""artificial neural network"; back-propagation; forecast; independent component analysis;" principal component analysis"",""Artificial Neural Network"; Auto-regression; Financial market; forecast; Independent components; Input datas; Learning mechanism; Levenberg-Marquardt; Mean reversion; Network-based; Pre-processing; Principal Components; Stock market; Stock returns; Commerce; Finance; Financial data processing; Forecasting; Image recognition; Independent component analysis; Principal component analysis; Regression analysis;" Neural networks""";;;;;;;;
4;"Shamshurin I.,""42662434400";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960138448&doi=10.1007%2f978-3-642-21786-9_42&partnerID=40&md5=ca35257d50cfc490dd398215d982a9aa"",""Jaccard index"; K-nearest Neighbor; Naive Bayes method; Sentiment Analysis; Supervised Learning;" Unsupervised Learning"",""Classification accuracy"; Customer review; Data representations; Data sets; Internet users; Jaccard index; K-nearest neighbors; Maximum entropy; Naive Bayes; Natural language text; Sentiment analysis; Unsupervised machine learning; Artificial intelligence; Pattern recognition; Supervised learning;" Data mining""";;;;;;;;;;;;;;
4;"Roytberg M.,""6602080158";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960131896&doi=10.1007%2f978-3-642-21786-9_4&partnerID=40&md5=5ff245341990b15c139bc6c373023ca2"",""accuracy"; alignment; confidence; seed; selectivity; sensitivity;" sequence comparison"",""accuracy"; Comparative analysis; confidence; sensitivity; Sequence alignments; Sequence comparisons; Artificial intelligence; Nucleic acids; Pattern recognition;" Alignment""";;;;;;;;;;;;;;;;;;;
4;"Mirkin B., Nascimento S., Fenner T., Felizardo R.,""35428028600";7003805775;7003951786;44361041400;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960150174&doi=10.1007%2f978-3-642-21786-9_2&partnerID=40&md5=ca3af701bdb20f461bcfc92447625867"",,""Novel methods"; Penalty function; Real world data; Artificial intelligence; Pattern recognition; Visualization;" Taxonomies""";;;;;;;;;;;;;;;;;;;;;;;;;
4;"Savchenko A.V.,""42962245900";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926232662&partnerID=40&md5=835ab1700e7155b73ee3fa1389f1cf0c"",""Automatic image recognition with unsupervised training"; Directed enumeration method; Minimum discrimination information principle;" Self training"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Gromov E., Logvinova K., Morozov V., Tyutin V.,""56802827200";8284266700;37079439900;6603597680;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79961238208&partnerID=40&md5=f70f5d965f80944d48a76f2d5327ab3d"",""Anomalous diffusion"; Fractal operator;" Random"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Babkin E., Karpunina M., Aseeva N.,""6701533991";55274973600;15847630900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054120269&doi=10.1007%2f978-3-642-24511-4_9&partnerID=40&md5=dd28b748c4d245f340d32c515cb0b963"",""distributed databases"; Neural networks; parallel programming;" tabu search"",""Data structures"; Information science; Learning algorithms; Neural networks; Parallel programming; Structural optimization; Distributed database; Logical structure; Parallel tabu search; Performance metrics;" Tabu search""";;;;;;;;;;;;;;;;;;;
4;"Kuznetsov S.O., Ślezakę D., Hepting D.H., Mirkin B.G.,""7202573378";57199100123;7801380650;57192792605;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037556134&partnerID=40&md5=2c0739f6384a7fe18bddddf20b9287be"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;"Babkin E., Karpunina M., Aseeva N.,""6701533991";55274973600;15847630900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054120269&doi=10.1007%2f978-3-642-24511-4_9&partnerID=40&md5=dd28b748c4d245f340d32c515cb0b963"",""distributed databases"; Neural networks; parallel programming;" tabu search"",""Data structures"; Information science; Learning algorithms; Neural networks; Parallel programming; Structural optimization; Distributed database; Logical structure; Parallel tabu search; Performance metrics;" Tabu search""";;;;;;;;;;;;;;;;;;;
6;"Mkrtchyan N.V.,""54788001400";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84055182536&partnerID=40&md5=40824a28f1e10e4ae9d654e24cabde88"",,""census"; migration; population dynamics; population estimation; population size;" Russian Federation""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;"Pelinovsky E., Kharif C.,""7004951110";55915319400;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960707353&doi=10.5194%2fnhess-11-2043-2011&partnerID=40&md5=13ef0a32e8d38e8406f8829a70731b95"",,""ocean wave"; oceanography;" surface wave""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;"Abalmasova N.E., Pain E.A.,""55062296800";26868038700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922152815&doi=10.1134%2fS2079970511030026&partnerID=40&md5=93b92c247d6898c83e9bdb8f2d6b655c"",""Brand of city"; Consolidation; Culture; Image of region; Local community; Modernization; Regional identity; Symbolic capital;" Symbolic management"",";;;;;;;;;;;;;;;;;;;;;;;;;
6;"Mkrtchyan N.V.,""54788001400";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922068554&doi=10.1134%2fS2079970511020110&partnerID=40&md5=f6bdf17d628e63541014c9714c1d2c7b"",""In-migration"; Interregional migration; Net-migration; Out-migration; Population;" Region"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;"Mkrtchyan N.V.,""54788001400";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922161254&doi=10.1134%2fS2079970511030087&partnerID=40&md5=cac748c28dd5f2da7cecbd062025aca7"",""Correction"; Intercensus period; Migration; Natural increase; Net balance of population size; Population census;" Region"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;"Gordin V.E.,""55903521700";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922201908&doi=10.1134%2fS2079970511040046&partnerID=40&md5=aa77294e0c3515b6fa64c0a64f9e0e2a"",""Cultural tourism"; The potential for tourism development;" Tourism in the city"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;"Gromov E., Logvinova K., Morozov V., Tyutin V.,""56802827200";8284266700;37079439900;6603597680;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79961238208&partnerID=40&md5=f70f5d965f80944d48a76f2d5327ab3d"",""Anomalous diffusion"; Fractal operator;" Random"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Kotliarov I.,""25626497500";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84455192541&partnerID=40&md5=0cd17a4a48afa1d6ba88666f57a7c42f"",""Franchisee"; Franchising; Franchisor; Income; Risk; Royalty;" Royalty rate"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Gurkov I.,""6603320551";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859080419&doi=10.1080%2f14631377.2011.622572&partnerID=40&md5=602c704ed2f7dbc894204e182b679a34"",,""business development"; comparative study; industrial development; industrial enterprise; innovation;" Russian Federation""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Teplova T., Shutova E.,""56030567300";57195435559;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008872009&doi=10.14208%2fBF03353829&partnerID=40&md5=fb779772255e65aa876b17713218829f"",""Cokurtosis"; Conditional CAPM; Coskewness; Downside CAPM; Higher Moment CAPM;" Russian Stock Market"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Kozyrev O., Malyzhenkov P.,""6602554401";54783108900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-83655211617&partnerID=40&md5=1d4174f154cde8ab2a60bb66b25f3680"",""Clusters"; Input-output model;" Networks"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Avdasheva S., Shastitko A.,""7801623030";14621167700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859252334&doi=10.1080%2f14631377.2011.622571&partnerID=40&md5=a9cac875edc7065509bdcc83e0153dd2"",,""competition policy"; economic policy; incentive; law enforcement; monopoly; price determination;" Russian Federation""";;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Sokolov V., Lee B.-J., Mark N.C.,""53980556100";55682884500;6701710674;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053970399&doi=10.1111%2fj.1468-0106.2011.00556.x&partnerID=40&md5=2917edf86484c4ccc92abdb1124eefed"",,""economic policy"; exchange rate; Gross Domestic Product; growth rate; inflation;" macroeconomics""";;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Klimova N., Kozyrev O.,""36941059400";6602554401;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052077405&partnerID=40&md5=b82dd43786782cee3083805c18839c39"",""Educational distributed systems";" Social capital"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Bykova A.,""54920362800";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856168331&doi=10.2298%2fEKA1190059B&partnerID=40&md5=f18c6dbe993ca6bda0adcec90a71dc97"",""Innovation clusters"; Innovation infrastructure; Institutes for innovative development;" Regional innovation system"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Klimova N.,""36941059400";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955781833&partnerID=40&md5=692715d79d315be7c602946677cbef57"",""Cluster"; Innovation systems;" Management of a national economy"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Sanina A.,""36469087400";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858287753&doi=10.1016%2fj.ccs.2011.12.002&partnerID=40&md5=2252bf2d4546d34edd66161812e73f33"",""Passenger behavior"; Public transport; Symbolic interaction;" Urban transport"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Aleskerov F., Karabekyan D., Sanver M.R., Yakuba V.,""7003947309";37089067400;55664622300;15838265400;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-82055193325&doi=10.1007%2fs13209-011-0050-y&partnerID=40&md5=c36e74b2927c412d1dccf855eec4c489"",""Extended preferences"; Manipulability; Multiple choice;" Positional voting rules"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;"Chernyshkova E.,""36967926100";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052175467&partnerID=40&md5=e4fca7f25117bb09692a7a074f42642b"",""""""Significant other"""""; Aggression; Aggressive reactions; Reflection;" Reflective process"",""Aggression"; Aggressive reactions; New model; New results; Reflective process; Self reflection; Significant other; significant other; Reflection; Technology;" Engineering""";;;;;;;;;;;;;;;;;;;;
8;"Savchenko A.V.,""42962245900";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926232662&partnerID=40&md5=835ab1700e7155b73ee3fa1389f1cf0c"",""Automatic image recognition with unsupervised training"; Directed enumeration method; Minimum discrimination information principle;" Self training"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;"Gromov E., Logvinova K., Morozov V., Tyutin V.,""56802827200";8284266700;37079439900;6603597680;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79961238208&partnerID=40&md5=f70f5d965f80944d48a76f2d5327ab3d"",""Anomalous diffusion"; Fractal operator;" Random"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;"Babkin E., Karpunina M., Aseeva N.,""6701533991";55274973600;15847630900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054120269&doi=10.1007%2f978-3-642-24511-4_9&partnerID=40&md5=dd28b748c4d245f340d32c515cb0b963"",""distributed databases"; Neural networks; parallel programming;" tabu search"",""Data structures"; Information science; Learning algorithms; Neural networks; Parallel programming; Structural optimization; Distributed database; Logical structure; Parallel tabu search; Performance metrics;" Tabu search""";;;;;;;;;;;;;;;;;;;
