14;"Ivanova M.V., Hallowell B.,""13406041800";6701685000;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858213129&doi=10.1080%2f02687038.2011.618219&partnerID=40&md5=5c07c368aff948b46e32766f355f591c"",""Aphasia"; Cognitive processing; Complex span tasks; Eye-tracking; Working memory;" Working memory assessment"",""adult"; aged; aphasia; article; attention deficit disorder; controlled study; disease severity; eye movement; eye tracking; female; human; language disability; language processing; major clinical study; male; measurement; motor performance; speech; task performance; validity; verbal memory; visual deprivation; visual field defect; visual stimulation;" working memory""";;;;;;;;;
14;"Dobrushina N.,""54972405500";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856894820&doi=10.1515%2fling-2012-0001&partnerID=40&md5=ec353aef3843b74f73f4635ba36f293b"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Ilyin M., Meleshkina E., Stukal D.K.,""57191089482";55903407900;55627527700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042852119&doi=10.1353%2freg.2012.0016&partnerID=40&md5=569bc7b74ab97ed8a434ef0c3d65712b"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Chernova Z.,""57192919533";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906890569&doi=10.1353%2freg.2012.0010&partnerID=40&md5=76c406b54aa63ba6221683a2ae1b5eec"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"García E.D.T.,""55421102000";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873908251&partnerID=40&md5=7e25dbdef4855e32d82fa7346091ea10"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;"Denisov B.P., Sakevich V.I., Jasilioniene A.,""55513264700";55512951300;24464335800;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870675175&doi=10.1371%2fjournal.pone.0049986&partnerID=40&md5=aa6e6e7c040a34255b8afb4dc2d205c1"",,""abortion"; adult; article; Belarus; birth control; contraception; document examination; family planning; female; health care policy; human; reproductive health; Russian Federation; sexual behavior; social aspect; trend study; Ukraine; Abortion, Induced; Adolescent; Adult; Aged; Aged, 80 and over; Contraception Behavior; Contraception, Barrier; Data Collection; Family Planning Services; Female; Humans; Intrauterine Devices; Male; Middle Aged; Ovulation Inhibition; Pregnancy; Republic of Belarus; Russia; Sterilization, Reproductive; Ukraine;" Young Adult"""
16;"Pavlyuchenkova S.M., Zakhidov S.T., Makarov A.A., Marshak T.L.,""55220209500";7003809680;48661185300;7003943779;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868697926&doi=10.1134%2fS106235901206009X&partnerID=40&md5=db6aaed1a251be8f017530b3b83093c9"",,""Animalia";" Mus""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;"Nye J.V.C., Androuschak G., Desierto D., Jones G., Yudkevich M.,""8234501800";55385970200;36494178100;55386227800;25924090500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867314768&doi=10.1371%2fjournal.pone.0046319&partnerID=40&md5=84eab122d1fe9826a08165999bacf6ba"",,""testosterone"; academic achievement; article; controlled study; education program; ethnic difference; female; finger; hand; human; human experiment; male; perception; Philippines; prenatal growth; Russian Federation; sex difference; socioeconomics; university student; Educational Status; Female; Fingers; Humans; Male; Pregnancy; Prenatal Exposure Delayed Effects; Sex Factors;" Testosterone""";;;;;;;;
16;"Zakhidov S.T., Pavlyuchenkova S.M., Marshak T.L., Rudoy V.M., Dement'eva O.V., Zelenina I.A., Skuridin S.G., Makarov A.A., Khokhlov A.N., Evdokimov Y.M.,""7003809680";55220209500;7003943779;8847412500;6602135538;6603947162;7004401920;48661185300;7201745734;7005610657;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861115293&doi=10.1134%2fS1062359012030156&partnerID=40&md5=c7e607cf1ce49a42f5f3c5a389b8d8ec"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;"Tyutnev A., Ikhsanov R., Saenko V., Pozhidaev E.,""7005402871";15131512700;7103137190;7006116169;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865217425&doi=10.1016%2fj.chemphys.2012.03.004&partnerID=40&md5=8f16522a0c11d0677f571ecbda36117c"",""Current universality"; Numerical computations; Poole-Frenkel effect;" Transient curves"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;"Zakhodiakin G.,""55321787600";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874880392&partnerID=40&md5=2aeb4352c6082d536da8cc65e99b2d98"",""Advanced planning and scheduling"; AMPL; Energy efficiency; Environment; LCA; LCIA; Life cycle assessment; Life cycle impact assessment; MILP; Mixed integer linear programming; Network design; Polyolefin production; Resource-saving; SCM; State-task network; Supply chain; Sustainability;" Wet natural gas"",";;;;;;;;;;;;;;;;;;;;;;
4;"Akopov A.S.,""47561181900";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871585490&doi=10.1504%2fIJCAT.2012.051122&partnerID=40&md5=b6b21b687cfbbd37377c572208c01d78"",""Computer modelling and simulation"; Genetic optimisation algorithm; Investment activity; Powersim Studio; System dynamics; Vertically integrated oil company;" VIOC"",""Computer modelling and simulation"; Oil companies; Optimisations; System Dynamics; VIOC; Algorithms; Computer simulation; Data warehouses; Studios;" Industry""";;;;;;;;;;;;;;;;;;;;;;;;
4;"Khalili A., Auer S., Hladky D.,""12752012400";23391879500;36623672100;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871168944&doi=10.1109%2fCOMPSAC.2012.72&partnerID=40&md5=3fb31a6bf66dc18020f6a198a1f907c9"",""RDFa"; rNews; Semantic content authoring;" Text annotation"",""Content creation"; RDFa; rNews; Semantic annotations; Semantic content; Semi-automatics; Source codes; Text annotations; Text authoring; Web of datum; WYSIWYG; Life cycle;" Semantics""";;;;;;;;;;;;;;;;;;;;;;
4;"Dworzański L.W., Lomazova I.A.,""55516172000";6701413146;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870821804&doi=10.3233%2fFI-2012-762&partnerID=40&md5=5d6f51b375ff6870feeb810140f87f8c"",,""Boundedness"; Compositionality; Free-choice Petri nets; Liveness; Polynomial-time algorithms; Model checking; Polynomial approximation;" Petri nets""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Bashkin V.A., Lomazova I.A.,""35864818900";6701413146;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870840180&doi=10.3233%2fFI-2012-760&partnerID=40&md5=d3bc4428487d1d2dd090050239f26a61"",""cellular nets"; mobile agents; multi-agent systems; Petri nets;" Resource-Driven Automata"",""cellular nets"; Expressive power; Finite systems; Input/output; Multi agent system (MAS); Resource-Driven Automata; Shared resources; Structured systems; System net; Equivalence classes; Flexible structures; Mobile agents; Multi agent systems; Petri nets;" Automata theory""";;;;;;;;;;;;;;;;;;;;
4;"Osipov D.,""24481886700";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870578478&doi=10.1109%2fRED.2012.6338407&partnerID=40&md5=f833d0ed46361a41078c8ff635076820"",""coded Dynamic Hopset Allocation Frequency Hopping system"; noncoherent threshold reception; q-ary code;" upper bounds"",""Frequency hopping systems"; Non-coherent; OFDMA systems; Q-ary codes; Upper Bound; Control systems; Frequency hopping; Redundancy;" Frequency division multiple access""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Savchenko A.V.,""42962245900";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871832496&doi=10.3103%2fS1060992X12040054&partnerID=40&md5=24721882d50667077bbd5ac8afb5a128"",""committee machine"; ensemble classifier; Kullback-Leibler minimum information discrimination principle;" video image recognition"",""A-posteriori probabilities"; Automatic adaptation; Block diagrams; Committee machines; Data sets; Ensemble classifiers; Ensemble of classifiers; Kullback-Leibler; Minimum information; Naive Bayesian; Nearest neighbor method; Similarity measure; System features; Video image recognition; Face recognition;" Bayesian networks""";;;;;;;;;;;;;;;;;;;;;
4;"Kuznetsov S.O., Neznanov A.A., Poelmans J.,""7202573378";55329014600;24504357900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893185984&partnerID=40&md5=772aa5856216afa16b49cc9c5286bbc7"",""Data mining"; Formal concept analysis; Natural language pro-cessing; Software tool;" Visualization"",""Concept Lattices"; Criminal investigation; Data preprocessing; Implication basis; Medical diagnostics; Natural languages; Software systems; Text collection; Algorithms; Artificial intelligence; Computer aided software engineering; Computer software; Data mining; Flow visualization; Formal concept analysis; Information analysis; Medical problems; Visualization;" Data visualization""";;;;;;;;;;;;;;;
4;"Styrin E., Zhulin A.,""53865533400";53865773700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877276083&doi=10.1145%2f2463728.2463830&partnerID=40&md5=71b25afc2d9136a3b3406212a964913c"",""Administrative regulation"; Interagency information sharing; Public services provision;" Single window"",""Administrative regulation"; Information sharing; Inter-agency collaboration; Legal aspects; Legal frameworks; Public services; Single windows; Government data processing;" Laws and legislation""";;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Hladky D., Klintsov V., Drobyazko G.,""36623672100";23392842700;23391866500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891944373&partnerID=40&md5=e7c55a4655880bf7b6578d9aae181484"",""Linked data"; Nlp; Rdf;" Uid disambiguation"",""Life-cycle management"; Linked datum; Ministry of Education; Nlp; Rdf; Russian federation; Uid disambiguation; Unique identifiers; Knowledge based systems;" Research""";;;;;;;;;;;;;;;;;;;;;;;;;
4;"Ignatov D.I., Poelmans J.,""56926915100";24504357900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898259717&doi=10.4018%2f978-1-4666-1900-5.ch008&partnerID=40&md5=3e7532413c5f91fed62acea9dd8419b2"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Ignatov D.I., Kaminskaya A.Y., Bezzubtseva A.A., Chernyak E.L., Blinkin K.N., Nedumov D.R., Chugunova O.N., Konstantinov A.V., Romashkin N.S., Strok F.V., Goncharova D.A., Yavorsky R.E.,""56926915100";55939778100;55940340100;55973447100;55995366100;55995595500;55973441900;55420166400;55027709000;55876566100;55995634400;55994948600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891943470&partnerID=40&md5=4cb928fdec96bd82431864148c462a1d"",""Collaborative and crowdsourcing platforms"; Data mining; Formal concept analysis;" Multimodal clustering"",""Association rules mining"; Collaborative platform; Crowdsourcing platforms; Data analysis system; Multi-modal; Unstructured data; Data mining; Learning systems;" Formal concept analysis""";;;;;;;;;;;;;;;;;
4;"Ignatov D.I., Kuznetsov S.O., Poelmans J.,""56926915100";7202573378;24504357900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873154025&doi=10.1109%2ficdmw.2012.100&partnerID=40&md5=ca006bc867bf7393c96529ea3773f06e"",""Biclustering"; Data mining; Formal concept analysis;" Web advertising"",""Bi clusters"; Biclustering; Binary relation; Concept-based; Data sets; Formal concepts; Meta rules; Web advertising; Algorithms; Data mining; Formal concept analysis; Internet; Marketing;" Industry""";;;;;;;;;;;;;;;;;;;;;
4;"Gnatyshak D., Ignatov D.I., Semenov A., Poelmans J.,""55420752100";56926915100;57198704406;24504357900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891926683&partnerID=40&md5=52a36b46a061a17ed2c9a638d5d14f89"",""Biclustering and triclustering"; Formal concept analysis; Online social networks;" Web 2.0 and social computing"",""Bi-clustering"; Biclustering and triclustering; Novel methods; On-line social networks; Similar Interests; Social tagging; Users' interests; Web 2.0 and social computing; Information analysis; Online systems; Social networking (online); Social sciences computing;" Formal concept analysis""";;;;;;;;;;;;;;;;;;;;;
4;"Naidenova X., Ignatov D.,""55317917500";56926915100;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898170180&doi=10.4018%2f978-1-4666-1900-5&partnerID=40&md5=e7ad7c66085587808df57f28ff4756e4"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Petrosyants K.O., Orekhov E.V., Kharitonov I.A., Popov D.A.,""6602577918";54914283100;56711354200;55795078700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880216437&doi=10.1117%2f12.2017550&partnerID=40&md5=a145855b410a41c9dddf4d568dd6e9b2"",""MOSFET"; Self-heating; SOI; TCAD; Technology scaling;" Thermal resistance"",""MOS-FET"; Self-heating; SOI; TCAD; Technology scaling; Heat resistance; Nanoelectronics; Semiconducting silicon; Silicon; Silicon on insulator technology;" MOSFET devices""";;;;;;;;;;;;;;;;;;;;;
4;"Lomazova I.A., Romanov I.V.,""6701413146";55933519800;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891759159&partnerID=40&md5=5bc77bc5c05f60797f6f671d4328b582"",,""Multiset"; Service compatibility; Service resources; Workflow modules; Petri nets; Specifications; Web services;" Websites""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Revenko A., Kuznetsov S.O., Ganter B.,""55225811200";7202573378;7003634626;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893158510&partnerID=40&md5=fc1f26e68d49f6a998f21a1185b55abb"",""Error exploration"; Formal context;" Implication"",""Formal contexts"; Implication; Implication basis; Polynomial-time; Artificial intelligence; Polynomial approximation;" Errors""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Buzmakov A., Kuznetsov S.O., Napoli A.,""56018681500";7202573378;7005873419;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893185854&partnerID=40&md5=ff75bd8460c0739b2ee4c8945be1b0c5"",""Classification"; Experiments; Formal concept analysis; JSM-hypotheses;" Jumping emerging patterns"",""Classical approach"; Classification approach; Concept-based; JSM-hypotheses; Jumping emerging pattern; New approaches; Training sets; Classification (of information); Experiments; Formal concept analysis;" Artificial intelligence""";;;;;;;;;;;;;;;;;;;;;;;
4;"Zaharchuk V., Ignatov D., Konstantinov A., Nikolenko S.,""55420283900";56926915100;55420166400;13608710100;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891955305&partnerID=40&md5=c0a3c8cc3994b661294bd4affa530359"",""Ecommerce"; Interactive radio network; Music recommender systems;" Quality of service"",""Adaptive online learning"; Interactive radio networks; Music recommender systems; Service evaluation; User history; Cognitive systems; Electronic commerce; Formal concept analysis; Information analysis; Learning systems; Quality of service; Radio; Radio stations;" Recommender systems""";;;;;;;;;;;;;;;;;;;;
4;"Poelmans J., Elzinga P., Ignatov D.I., Kuznetsov S.O.,""24504357900";24504058300;56926915100;7202573378;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867380440&doi=10.1080%2f03081079.2012.721662&partnerID=40&md5=28edfffc18ee111201cf3f0db9e97de8"",""formal concept analysis"; human trafficking;" semi-automated knowledge discovery"",""Activity report"; Concept Lattices; Domain experts; Domain knowledge; Domain specific; Early warning indicators; Enterprise applications; Human intelligence; Human trafficking; Illegal activities; In-depth investigation; Netherlands; Police reports; Semi-automated; Formal concept analysis; Information analysis; Iterative methods;" Crime""";;;;;;;;;;;;;;;;;
4;"Savchenko A.V.,""42962245900";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867644436&doi=10.1007%2f978-3-642-33212-8_9&partnerID=40&md5=74dcc9604fa5ac199b8b1150f12069b1"",""hypothesis test for samples homogeneity"; probabilistic neural network; sets of patterns;" Statistical pattern recognition"",""Authorship attribution"; Bayes Classifier; Bayesian decision; Classification tasks; Gaussian kernel functions; Homogeneity testing; Hypothesis tests; Probabilistic neural networks; Probability neural network; sets of patterns; Smoothing parameter; Statistical pattern recognition; Statistical recognition; Training speed; Optimization; Pattern recognition;" Neural networks""";;;;;;;;;;;;;;;;;;;;
4;"Fomichov V.A., Kirillov A.V.,""6602185149";55365984200;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866690192&doi=10.1007%2f978-3-642-33185-5_33&partnerID=40&md5=f9064b04fbdd36f7f1eb91c9c58dd1fc"",""AOS search system"; goals base; requests about achievements and failures; semantic transformation of search request; semantic transformation pattern; SK-languages;" theory of K-representations"",""goals base"; Search system; Semantic transformation; SK-languages; theory of K-representations; Artificial intelligence; Knowledge based systems; Knowledge representation; Safety devices;" Semantics""";;;;;;;;;;;;;;;;;;;;;;;
4;"Khovratovich D., Rechberger C., Savelieva A.,""23389494700";12545226800;55365663200;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866690142&doi=10.1007%2f978-3-642-34047-5_15&partnerID=40&md5=9f072da18ddb1127aa5ba9db4a9248c8"",""biclique"; hash function; initial structure; meet-in-the-middle attack; preimage attack; SHA-2; SHA-256; SHA-3; SHA-512; Skein;" splice-and-cut"",""Biclique"; Initial structures; Meet-in-the-middle; Preimage attack; SHA-2; SHA-256; SHA-3; SHA-512; Skein; splice-and-cut; Lyapunov methods;" Hash functions""";;;;;;;;;;;;;;;;
4;"Felikson A., Natanzon S.,""6603283459";6603742412;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865508359&doi=10.1016%2fj.difgeo.2012.07.002&partnerID=40&md5=76b004303a2542fdfb9e0d21b78a1c1b"",""Hyperbolic surfaces"; Moduli spaces;" Pants decompositions"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Shylo O., Korenkevych D., Pardalos P.M.,""14122367200";38862101200;7005330875;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866382201&doi=10.1007%2f978-3-642-32964-7_28&partnerID=40&md5=c51fa63b50acbfae1c3458295f436751"",""discrete optimization"; global equilibrium search;" meta-heuristics"",""Best-known algorithms"; Combinatorial optimization problems; Compact sets; Discrete optimization; Discrete optimization problems; global equilibrium search; Initial solution; Job shop scheduling problems; Local search method; MAX-CUT problem; Maximum satisfiability problems; Meta heuristics; Metaheuristic; Multidimensional knapsack problems; Quadratic programming problems; Search Algorithms; Search spaces; Simulated annealing method; Solution space; Starting solutions; State-of-the-art performance; Combinatorial optimization; Integer programming; Parallel architectures; Quadratic programming; Simulated annealing;" Algorithms""";;;;;;;;;
4;"Gromoff A., Stavenko J., Evina K., Kazantsev N.,""49663292500";55351417500;53866444300;36237354600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865756793&partnerID=40&md5=98fa179d70090bcf6932c5466adbb76a"",,""Business process modelling"; Community IS; Content analysis; Development prospects; Innovative process; Return on investments; Social capitals; Strategic map; Subject-oriented; Unstructured data; Economics; Graph theory; Information systems; Investments;" Curricula""";;;;;;;;;;;;;;;;;;;;;;
4;"Kokhov V.A.,""6507318739";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869418440&doi=10.1134%2fS1064230712030057&partnerID=40&md5=79fad50b3bb155994dda8184e78d2f94"",,""First systems"; Matrix model; Qualitative features; Semantic network; Stratified systems; Two-graphs; Directed graphs; Semantics;" Problem solving""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Goldengorin B., Krushinsky D., Slomp J.,""6506538311";25121113400;6603677460;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869741855&doi=10.1287%2fopre.1120.1108&partnerID=40&md5=5931e1162852a7e3f1f69c04c9c03e13"",""Cell formation"; Group technology; P-median problem;" Pseudo-Boolean polynomial"",""Algorithmic errors"; Cell formation; CPU time; Experimental studies; High quality; Model-based OPC; Modeling errors; Objective functions; P-median problems; Pseudo-Boolean; Solution methods; Solution quality; Algorithms; Cellular manufacturing; Group technology;" Boolean algebra""";;;;;;;;;;;;;;;;;;;
4;"Talalakina E.V.,""55263019000";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864884649&partnerID=40&md5=0b28a8a5985932fa3ee02c8d6c0a38d8"",""Critical thinking"; Debates; Foreign language acquisition; Synchronous and asynchronous e-learning;" Video-conference"",""Asynchronous e-learning"; Critical thinking; Debates; Foreign language; Video-conference; E-learning; Mergers and acquisitions;" Education""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Poelmans J., Ignatov D.I., Viaene S., Dedene G., Kuznetsov S.O.,""24504357900";56926915100;55960020100;6603898706;7202573378;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864668834&doi=10.1007%2f978-3-642-31488-9_22&partnerID=40&md5=3ec53bc5698ff52e00e5188f1a022d21"",,""Concept Lattices"; Information retrieval research; Plain text; Scientific papers; Text mining; Toolsets; Unsupervised clustering technique; Abstracting; Information retrieval; Innovation; Research; Surveys;" Data mining""";;;;;;;;;;;;;;;;;;;;;;;
