;Область, Авторы,Идентификаторы авторов,Ссылка,Ключевые слова автора,Ключевые слова указателя;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Aleskerov F., Petrushchenko V.,""7003947309";56878996400;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942589165&doi=10.1007%2f978-3-319-18167-7_2&partnerID=40&md5=e8d7c1be88827a620d94e6a94cf0ac53"",""Data Envelopment Analysis"; Heterogeneity; Sequential Exclusion of Alternatives;" Universities"",""Data envelopment analysis"; Efficiency; Information systems; Management science; DEA models; Efficiency estimation; Heterogeneity; Sequential Exclusion of Alternatives; Universities;" Information management""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Masyutin A., Kashnitsky Y., Kuznetsov S.,""56441599600";56406485700;7202573378;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944323362&partnerID=40&md5=f416c1901f56c19573edfa56666a355d"",,""Artificial intelligence"; Formal concept analysis; Information analysis; Textile printing; Arbitrary objects; Associative classification algorithms; Classification rules; Concept Lattices; Credit scoring; Formal concept analyses (FCA); Knowledge extraction; Pattern structure;" Data mining""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Andreeva E., Poletaeva T., Abdulrab H., Babkin E.,""57016355100";56337698400;6602972854;6701533991;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951286129&doi=10.1007%2f978-3-319-24626-0_6&partnerID=40&md5=8062cb8d0dbdb8644a5b9b895ff09aa5"",""Domain ontology"; Knowledge management; Semantic data modeling; Semantic interoperability;" Supply network"",""Information analysis"; Information management; Knowledge management; Semantics; Supply chains; Business case; Domain ontologies; Knowledge integration; Ontology-based; Semantic data model; Semantic interoperability; Supply chain operations reference models; Supply networks;" Data integration""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Bernstein A., Kuleshov A., Yanovich Y.,""55926029700";25621485600;57003326000;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949752569&doi=10.1007%2f978-3-319-17091-6_36&partnerID=40&md5=c6204e80bc81579675ef7ecf93ae7a57"",""Dimensionality reduction"; Manifold learning; Manifold learning regression; Nonlinear regression;" Tangent bundle manifold learning"",""Jacobian matrices"; Learning systems; Mapping; Vector spaces; Dimensional spaces; Dimensionality reduction; Input-output; Manifold learning; Non-linear regression; Predictive function; Regression problem; Training data sets;" Regression analysis""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Zakharov V.A.,""35496961400";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949908436&doi=10.1007%2f978-3-319-23021-4_19&partnerID=40&md5=a9c8a4a5733409eb4079407cb202c552"",,""Algebra"; Information science; Equivalence-checking problem; Finite state transducers; Formal model; Model of computation; Reactive programs; Semi-group; Semigroups;" Transducers""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Grigoriev D., Podolskii V.V.,""55401982400";23092161300;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923859106&doi=10.4230%2fLIPIcs.STACS.2015.379&partnerID=40&md5=adb0caf08bdb2965167bc0efaa7432fe"",""Nullstellensatz"; Tropical algebra;" Tropical geometry"",""Algebra"; Computation theory; Polynomials; Algebraic curves; Algebraic theories; Algebraic varieties; Computational aspects; Mathematical objects; Nullstellensatz; Tropical algebras; Tropical geometry;" Tropics""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Buzmakov A., Kuznetsov S.O., Napoli A.,""56018681500";7202573378;7005873419;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958526666&doi=10.1007%2f978-3-319-19545-2_13&partnerID=40&md5=b75367214697d71ac18000cf55e15892"",""Formal concept analysis"; Pattern structures; Projections;" Representation contexts"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Buzmakov A., Kuznetsov S., Napoli A.,""56018681500";7202573378;7005873419;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944314621&partnerID=40&md5=df34889fd91f044ac91277934c850cae"",,""Polynomial approximation"; Basic operation; Exponential explosion; Generalized monotonicity; Item sets; Monotonicity property; Pattern mining; Polynomial-time;" Artificial intelligence""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Belenky A.S., Egorova L.G.,""7006969623";55611939400;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942626375&doi=10.1007%2f978-3-319-18161-5_22&partnerID=40&md5=5eadc117cbf09c247ba21a3894fa3551"",""Dynamics of financial securities"; Linear programming; Portfolio; Price-taking traders; Random variable distribution; Saddle points;" Two-person games on polyhedral sets of disjoint player strategies"",""Commerce"; Costs; Finance; Information management; Information systems; Linear programming; Management science; Random variables; Financial security; Portfolio; Price-taking traders; Saddle point; Two person game; Variable distribution;" Financial markets""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Avdeeva Z.K., Omarova N.O., Taratuhina Y.V.,""26647340000";6508005938;56538734700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947926096&doi=10.1007%2f978-3-319-19875-0_20&partnerID=40&md5=e5ec3bc18b474755f630a34016045f46"",""Adaptation of interface"; International educational communication;" Personal cultural-cognitive profile"",""Education"; Students; Approaches to learning; Cognitive profiles; Cultural groups; Educational contents; Educational environment; Educational spaces; Individualized learning; Pre-requisites;" E-learning""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Toporkov V.V., Toporkova A., Tselishchev A., Yemelyanov D., Potekhin P.,""55961546000";6507444021;24825612100;35175412600;56786588700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939182345&doi=10.1016%2fj.procs.2015.05.211&partnerID=40&md5=c53c78bf7aabc54c42617669abb21847"",""Backfilling"; Batch; Distributed computing; Flow; Job; Optimization; Resource; Scheduling;" Utilization"",""Distributed computer systems"; Heuristic methods; Job shop scheduling; Optimization; Waste utilization; Backfilling; Batch; Flow; Job; Resource;" Scheduling""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Toporkov V., Toporkova A., Tselishchev A., Yemelyanov D., Potekhin P.,""55961546000";6507444021;24825612100;35175412600;56786588700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946426779&doi=10.1007%2f978-3-319-19216-1_48&partnerID=40&md5=a07bb5924f9937d4de9f6016c2333ccf"",""Batch"; Flow; Grid; Job; Knapsack problem; Quality of service; Resource management; Scheduling;" Virtual organization"",""Combinatorial optimization"; Computation theory; Heuristic methods; Job shop scheduling; Scheduling; Batch; Flow; Grid; Job; Knapsack problems; Resource management; Virtual organization;" Quality of service""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Toporkov V., Toporkova A., Tselishchev A., Yemelyanov D., Potekhin P.,""55961546000";6507444021;24825612100;35175412600;56786588700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944215015&doi=10.1007%2f978-3-319-21909-7_29&partnerID=40&md5=076e7d6d6a3d4ea841db1fadce91f6e6"",""Batch"; Flow; Grid; Job; Knapsack problem; Resource management; Scheduling;" Virtual organization"",""Combinatorial optimization"; Heuristic methods; Scheduling; Batch; Flow; Grid; Job; Knapsack problems; Resource management; Virtual organization;" Job shop scheduling""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Greene G.J., Dunaiski M., Fischer B., Ilvovsky D., Kuznetsov S.O.,""57169743200";55512551500;55574221165;55967196200;7202573378;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964012115&partnerID=40&md5=18eef44fa886d173f110a70c591917cd"",,""Data mining"; Information analysis; Metadata; Publishing; Academic publications; Concept Lattices; Key phrase extractions; Key-phrase; Tag clouds;" Formal concept analysis""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Makhalova T., Ilvovsky D., Galitsky B.,""56904199800";55967196200;6603420071;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944317332&partnerID=40&md5=daa5acbe0143321316586145bfecbf93"",,""Cluster analysis"; Textile printing; World Wide Web; Clustering methods; News clustering; Pattern structure; Syntactic parse tree; Web search results;" Artificial intelligence""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Shvydun S.,""55862150500";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942636646&doi=10.1007%2f978-3-319-18167-7_41&partnerID=40&md5=cee2c418b15e93af9a1a8ae477dbaad4"",""Choice Problem"; Choice Procedures; Computational Complexity;" Superposition"",""Computational complexity"; Information systems; Management science; Choice problems; Choice Procedures; Large amounts; Sequential applications; Superposition;" Information management""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Baben M., Gawrychowski P., Kociumaka T., Starikovskaya T.,""56743205000";25521762100;55195716200;24339291900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938244208&partnerID=40&md5=a0a687e2f896cd0b8a5b7af8139de671"",,""Algorithms"; Data compression; Data structures; Forestry; Query processing; Binary search; Burrows Wheeler transform; Combinatorial structures; Construction time; ITS applications; Run-length encoding; State-of-the-art algorithms; Wavelet tree; Trees (mathematics); Algorithms;" Problem Solving""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Barjis J., Pergl R., Babkin E.,""12143986300";26633154200;6701533991;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951304374&doi=10.1007%2f978-3-319-24626-0&partnerID=40&md5=e2397efba7a2a34ed3d5f19f7deab95f"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Vorontsov K., Potapenko A., Plavin A.,""6507982932";55631849300;57003543200;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949809819&doi=10.1007%2f978-3-319-17091-6_14&partnerID=40&md5=feffdc6376ff76ca47da7693943d2782"",""EM-algorithm"; Probabilistic latent sematic analysis; Probabilistic topic modelling; Regularization;" Topic selection"",""Algorithms"; De correlations; EM algorithms; Multi-criteria approach; Probabilistic latent sematic analysis; Probabilistic topic models; Regularization; Text collection; Topic selection;" Entropy""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Rubtsov A., Vyalyi M.,""56988930900";23092601000;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949024625&doi=10.1007%2f978-3-319-19225-3_22&partnerID=40&md5=a17726ec09ff6fb5e9ffb8d986d5eada"",,""Algorithmic languages"; Computational complexity; Computational linguistics; Dispersion compensation; Parallel processing systems; Algorithmic complexity; Context-free; Dominance relation; Intermediate complexity; Maximal filters; P-complete; Realizability;" Context free languages""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Stegailov V.V., Orekhov N.D., Smirnov G.S.,""6603823822";56192008000;55234045200;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944255928&doi=10.1007%2f978-3-319-21909-7_45&partnerID=40&md5=cd4ce92f1681d6a507cdd436ec50573b"",,""Algorithms"; Computational efficiency; Efficiency; Hardware; Molecular dynamics; Supercomputers; Atomistic modeling; Classical molecular dynamics; Hardware efficiency; Hardware system; Linpack benchmark; Peak performance; Time-to-solution;" Quantum efficiency""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Tutubalina E., Nikolenko S.,""56441621500";13608710100;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952642265&doi=10.1007%2f978-3-319-27101-9_7&partnerID=40&md5=ea91ef018ebcabad5440b08e60c8cc13"",,""Algorithms"; Artificial intelligence; Domain knowledge; EM algorithms; New approaches; Opinion mining; Sentiment analysis; Sentiment dictionaries; Topic model; Topic Modeling;" Data mining""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Proletarsky A.V., Gorin A.A., Wnukov A.A.,""55515402200";56785480400;56786291400;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939522393&partnerID=40&md5=25914578a9f63cd6efc5fed2c5a30d5c"",""Block diagram"; Database; Expert system; Interactive electronic technical manuals;" Synthesis"",""Database systems"; Synthesis (chemical); Technical writing; Advanced equipment; Block diagrams; Comparative analysis; Diagnosis and prognosis; End users; Procedural knowledge; Technical conditions; Technical manuals;" Expert systems""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Savchenko A.V., Milov V.R., Belova N.S.,""42962245900";6601970522;57022194600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951870754&doi=10.1007%2f978-3-319-26123-2_2&partnerID=40&md5=18cdcc3c3d91f1f5fd253846c6302cdc"",""Chow’s reject option"; Hierarchical recognition; HOG (Histograms of oriented Gradients); Image recognition; PHOG (Pyramid HOG); Probabilistic neural network;" Sequential analysis"",""Face recognition"; Graphic methods; Image recognition; Neural networks; Statistical methods; Statistical tests; Hierarchical recognition; Histograms of oriented gradients; PHOG (Pyramid HOG); Probabilistic neural networks; Sequential analysis;" Image analysis""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Bronevich A., Rozenberg I.,""23102270900";15136568900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912129111&doi=10.1016%2fj.ijar.2014.10.002&partnerID=40&md5=f80aeffe93f93fd07967eafe4349d3b1"",""Belief functions"; Generalized dempster-shafer rules; Imprecision indices;" Uncertainty in information"",""Belief function"; Dempster-Shafer rule; Imprecision indices;" Uncertainty in information""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Iomdin B.L.,""36113739700";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952764771&partnerID=40&md5=74784c30c56b14a126b35b594e86fc50"",""Classificaton"; Everyday word usage; Lexicography; Meaning evolution; Naïve world view; Nuts; Polysemy; Semantics; Surveys;" Terminology"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Nikolenko S.,""13608710100";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951871986&doi=10.1007%2f978-3-319-26123-2_1&partnerID=40&md5=fa336ebecb4c4ab8af5f4e385c9b3712"",""EM algorithm"; Presenceonly Data;" Probabilistic rating systems"",""Algorithms"; Complex networks; Maximum principle; Rating; Bayes approach; Complex model; EM algorithms; Expectation - maximizations; Latent variable; Logistic regressions; Presence-only datum; Rating system;" Image analysis""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Kaytoue M., Codocedo V., Buzmakov A., Baixeries J., Kuznetsov S.O., Napoli A.,""27567839200";26025572600;56018681500;8886244000;7202573378;7005873419;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984617606&doi=10.1007%2f978-3-319-23461-8_19&partnerID=40&md5=225a2400530849d4c7fea317e7e0e173"",,""Artificial intelligence"; Database systems; Formal concept analysis; Information analysis; Learning systems; Complex data; Concept Lattices; Functional dependency; Knowledge processing; Local patterns; Pattern structure;" Data mining""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Toporkov V., Toporkova A., Tselishchev A., Yemelyanov D., Potekhin P.,""55961546000";6507444021;24825612100;35175412600;56786588700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921364310&doi=10.1007%2f978-3-319-10422-5_34&partnerID=40&md5=20c578500c16124ac9f38b8854de84bc"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Toporkov V., Yemelyanov D., Potekhin P., Toporkova A., Tselishchev A.,""55961546000";35175412600;56786588700;6507444021;24825612100;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937963302&partnerID=40&md5=117a9f6d399f2ae82bc2cb7d4ee1e8da"",""Batch"; Co-allocation; Distributed computing; Economic scheduling; Job; Resource management; Slot;" Task"",""Computational complexity"; Job shop scheduling; Quality of service; Scheduling; Batch; Co-allocation; Economic scheduling; Job; Resource management; Slot; Task;" Distributed computer systems""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Kanovich M., Kirigin T.B., Nigam V., Scedrov A., Talcott C.,""56117921300";55794507800;23390327300;6701808416;7003406044;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926635812&doi=10.1007%2f978-3-662-46666-7_14&partnerID=40&md5=034c5dbc24fc24e21366ce0c8c6e1df3"",,""Mobile security"; Network security; Cyber physicals; Cyber-Physical securities; Design and analysis; Distance bounding protocols; Multiset rewriting; Reachability problem; Security protocols; Transmission velocities;" Security of data""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Sarwar S.M., Hasan M., Billal M., Ignatov D.I.,""26668090800";56532605400;57022241200;56926915100;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951875218&doi=10.1007%2f978-3-319-26123-2_23&partnerID=40&md5=cfb5d2f98d9897a6be6efe6481a24202"",""Collaborative Filtering"; Recommender Systems; Similarity fusion;" Similarity measures"",""Image analysis"; Recommender systems; Relative performance; Similarity aggregations; Similarity measure; Similarity metrics;" Collaborative filtering""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Smetanin Y.G., Ulyanov M.V.,""6507312921";56161031500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939939602&doi=10.1007%2fs10559-015-9708-y&partnerID=40&md5=729a379ecb69379513a2d5428e2193d5"",""combinatorics of words"; de Bruijn multidigraph; Euler path; forbidden word;" reconstruction of words"",""Adjacency matrices"; Algebraic operations; Combinatorics of words; Euler cycles; Euler path; Feasible solution; forbidden word; Multi-digraphs;" Cybernetics""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Aleskerov F., Ivanov A., Karabekyan D., Yakuba V.,""7003947309";57169333600;37089067400;15838265400;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960936590&doi=10.1016%2fj.procs.2015.07.133&partnerID=40&md5=484016cb5a0d4aae52f896cbf279dc23"",""Aggregation procedures"; Manipulability;" Social choice"",""Computers"; Impartial anonymous culture; Manipulability; Multi-valued; Social choice; Tie-breaking;" Computer science""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Sergeev A., Babkin E.,""56379652600";6701533991;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937509259&doi=10.1007%2f978-3-319-19297-0_3&partnerID=40&md5=aee01d74ae0beaa8b663bff5485532fc"",""Competence"; DEMO; Enterprise engineering;" Enterprise restructuring"",""Competence"; DEMO; Enterprise engineering; Enterprise restructuring;" Modelling framework""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Khachay M.Y., Konstantinova N., Panchenko A., Ignatov D.I., Labunets V.G.,""6507117765";56129345700;55632785700;56926915100;6701610877;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951873383&doi=10.1007%2f978-3-319-26123-2&partnerID=40&md5=8a500c7754f6184ceaa71789898dc318"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Kogan K., Nikolenko S., Rottenstreich O., Culhane W., Eugster P.,""8219662100";13608710100;24328397000;55447471700;16303930200;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924419320&doi=10.1145%2f2619239.2626294&partnerID=40&md5=1af90cb045382dcaf1aa52ea3effa771"",""Packet classification";" TCAM"",""Logic gates"; Packet networks; Classification rules; Logarithmic time; Network services; Packet classification; Range constraints; Space and time complexity; TCAM; Ternary content addressable memory;" Ternary content adressable memory""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Novikov A., Podoprikhin D., Osokin A., Vetrov D.,""56462166000";57189092445;57200736313;8382687000;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965128773&partnerID=40&md5=7173f501784159eeab067749dc0c6c4e"",,""Compression factor"; Computational resources; Deep neural networks; Expressive power; Large amounts; State-of-the-art performance; Tensor trains; Weight matrices;" Information science""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Nikolaev A., Batsyn M., San Segundo P.,""56729990500";37111907600;34882184900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949033953&doi=10.1007%2f978-3-319-19084-6_27&partnerID=40&md5=8aa158db7a887a2c6b3991e7087ce8c4"",""Branch-and-bound algorithm"; Maximum clique problem;" Reusing coloring"",""Algorithms"; Benchmarking; Branch and bound method; Forestry; Optimization; Trees (mathematics); Branch-and-bound algorithms; Computational time; Maximum clique; Maximum clique problems; New approaches; New branches; Search trees; Upper Bound;" Coloring""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Bienvenu M., Kikot S., Podolskii V.,""23007444300";50262220100;23092161300;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945914190&doi=10.1109%2fLICS.2015.38&partnerID=40&md5=0cbf072a5ac9e345eea76132ec445439"",,""Birds"; Forestry; Boolean circuit; Complexity results; Conjunctive queries; Like queries; Polynomial size; Query answering; Query topology; Super-polynomials;" Trees (mathematics)""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Eugster P., Kesselman A., Kogan K., Nikolenko S., Sirotkin A.,""16303930200";6602143889;8219662100;13608710100;55211091400;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950315089&doi=10.1007%2f978-3-319-25258-2_5&partnerID=40&md5=5745dcea6527fdc4ce4a5e1741d5dc1f"",,""Complex networks"; Computational complexity; Network architecture; Scheduling; Switching systems; Dynamic environments; Objective functions; Scheduling and buffer managements; Specific distribution; Target architectures; Throughput performance; Traffic characteristics; Traffic parameters;" Memory architecture""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Krobka N.I., Aksenov S.A., Bober S.A., Efremova E.V., Logashina I.V., Tukmakov A.V., Fedorenko Yu.V., Chumatchenko E.N.,""7801569635";15080694300;35097145600;56769383900;6506347069;56769713700;56769379600;56770179700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938890385&partnerID=40&md5=88c7f11d1b87192956cd0ea800624100"",""Distributed integrated navigation systems"; Hazardous asteroids; Planetary defense; Projectile asteroids;" Target asteroids"",""Air navigation"; Navigation systems; Projectiles; Research laboratories; Space research; Spacecraft equipment; Computer technology; Integrated navigation systems; Mathematical method; Multi-level systems; Navigation equipment; Planetary defense; Scientific researches; Systems and process;" Asteroids""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Semenov A., Natekin A., Nikolenko S., Upravitelev P., Trofimov M., Kharchenko M.,""57022170000";54387233200;13608710100;57022216200;57022246400;57022204300;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951871391&doi=10.1007%2f978-3-319-26123-2_3&partnerID=40&md5=72ca3c338a16a0ec42f0dabddadb8c3a"",""Data mining"; Depression; Egocentric networks; Online social networks;" Social network analysis"",""Behavioral research"; Data mining; Image analysis; Online systems; Websites; Comparative analysis; Depression; Ego-centric networks; High-level features; On-line social networks; Profile features; Research designs; User behaviors;" Social networking (online)""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Shcherbatenko M., Lobanov Y., Benderov O., Shurakov A., Ignatov A., Titova N., Finkel M., Maslennikov S., Kaurova N., Voronov B.M., Rodin A., Klapwijk T.M., Gol'tsman G.N.,""56095501200";9333900400;56964368500;55266061300;57201612032;56740458200;12767354500;8503067600;6507396101;57200973381;7101726289;7006694350;7006771637;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947211984&partnerID=40&md5=72bbf3be7c8fc1315076d41882ebcaad"",,""Antennas"; Bandpass filters; Bolometers; Earth (planet); Earth atmosphere; Germanium; Hot electrons; Infrared detectors; Lenses; Mixers (machinery); Superconducting films; Antenna parameters; Germanium windows; Hot electron bolometer mixer; Interstellar space; Logarithmic spiral; Narrow-band pass filters; Planetary atmosphere; Superconducting hot-electron bolometer;" Spiral antennas""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Aksenov S.A., Chumachenko E.N., Kolesnikov A.V., Osipov S.A.,""15080694300";7004559856;56423264600;55736057300;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911469105&doi=10.1016%2fj.jmatprotec.2014.11.015&partnerID=40&md5=3044ce6a84e3b19d615367fd2e1e01e3"",""AMg6"; Constitutive models; Free bulging test; Mathematical simulation; Rheological parameters; Strain rate sensitivity index;" Superplastic forminga"",""Computer simulation"; Constitutive equations; Constitutive models; Finite element method; Plastic flow; Sensitivity analysis; Stress-strain curves; Testing; AMg6; Free bulging; Mathematical simulations; Rheological parameter; Strain rate sensitivity index; Superplastic forminga;" Strain rate""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Ignatov D.I., Watson B.W.,""56926915100";56396144300;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963994572&partnerID=40&md5=02cc848109a309fda05c8a9e4a9f9388"",""Attribute exploration"; Biclustering; Concept lattices;" Taxonomy"",""Artificial intelligence"; Bioinformatics; Computer aided diagnosis; Data mining; Gene expression; Genes; Information analysis; Learning systems; Surveys; Taxonomies; Attribute exploration; Bi-clustering; Concept Lattices; Conventional clustering; Different domains; Gene expression analysis; Object attributes; Unsupervised machine learning;" Formal concept analysis""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
